student_id,minutes_watched,paid_in_q2
4849,2723.3333,1
4861,10.8,1
4869,556.4167,1
4872,721.4,1
4874,1174.85,1
4877,25.2,1
4884,0.2,1
4898,306.8667,1
4917,1.9,1
4921,275.7833,1
4927,79.9333,1
4939,3121.8,1
4946,22.5667,1
4958,7246.1667,1
4969,36.2833,1
4972,675.0333,1
4991,2840.3,1
5010,1174.4,1
5028,1638.3667,1
5036,4820.75,1
5058,15.6833,1
5063,0.1,1
5064,504.3333,1
5070,363.1333,1
5071,630.6333,1
5076,696.7667,1
5080,2681.6333,1
5088,0.7833,1
5094,2367.8333,1
5098,563.0667,1
5104,760.2,1
5130,1750.1667,1
5136,13.9,1
5143,60.2333,1
5153,59.7833,1
5155,109.2,1
5203,2043.45,1
5212,1247.15,1
5221,0.0667,1
5223,585.8667,1
5227,0.3333,1
5262,426.5167,1
5274,22.0833,1
5279,139.4167,1
5286,453.2,1
5299,265.1,1
5309,710.5333,1
5321,1777.0,1
5323,192.8,1
5325,499.5,1
5334,34.45,1
5336,589.0333,1
5340,521.6,1
5358,14.9833,1
5373,244.5833,1
5380,1.7333,1
5382,2277.0667,1
5385,1004.65,1
5389,0.6667,1
5391,715.1,1
5392,86.2167,1
5424,28.8,1
5427,1037.0833,1
5434,461.15,1
5450,59.3,1
5453,1559.0167,1
5502,979.3333,1
5511,0.0667,1
5515,7.2833,1
5543,975.4167,1
5567,1523.8,1
5574,9.0833,1
5577,252.5333,1
5578,16.0167,1
5579,29.5333,1
5589,293.0333,1
5591,44.45,1
5598,28.1333,1
5601,245.8,1
5612,346.1,1
5632,112.4833,1
5633,2118.7667,1
5638,38.5333,1
5644,0.1333,1
5663,27.6,1
5671,29.2,1
5676,6.6167,1
5683,32.8333,1
5686,136.9667,1
5687,144.9,1
5704,1.1,1
5707,234.9333,1
5716,4.5333,1
5717,654.6667,1
5720,2622.95,1
5734,1262.5333,1
5739,300.3667,1
5750,0.7667,1
5774,44.2,1
5782,297.85,1
5791,6.25,1
5836,3778.75,1
5884,130.0667,1
5939,17.7333,1
5955,1887.5667,1
5971,161.8,1
5974,4070.5333,1
5996,61.9333,1
6010,3968.3167,1
6011,328.7,1
6012,6.45,1
6027,24.15,1
6030,385.35,1
6034,0.0833,1
6043,327.0667,1
6070,473.05,1
6096,777.8333,1
6110,559.1,1
6125,1164.3833,1
6129,194.1,1
6218,29.4667,1
6227,471.2333,1
6239,290.9,1
6252,1229.45,1
6253,283.95,1
6261,0.3667,1
6278,2924.6,1
6312,489.5333,1
6331,55.35,1
6363,124.0,1
6367,157.0667,1
6379,422.8333,1
6394,332.5667,1
6395,1044.65,1
6408,1501.75,1
6409,169.7333,1
6418,42.45,1
6421,1981.9,1
6433,762.55,1
6451,36.6,1
6464,203.8833,1
6488,5874.4667,1
6503,16.4667,1
6505,161.6333,1
6530,3627.8,1
6542,128.6833,1
6559,320.8333,1
6560,40.7,1
6569,4.35,1
6580,26.7167,1
6589,1331.3,1
6599,370.3333,1
6616,1512.7667,1
6627,49.7,1
6643,8129.75,1
6659,189.1333,1
6665,24.35,1
6667,11.4333,1
6681,8.45,1
6685,523.6333,1
6698,70.2667,1
6739,10037.6,1
6741,65.9333,1
6743,23.9667,1
6745,173.6,1
6757,71.0,1
6773,36.0667,1
6791,261.1333,1
6814,54.8667,1
6817,135.0,1
6819,1207.6,1
6824,307.5,1
6836,33.5333,1
6864,6.0167,1
6867,9.0833,1
6869,79.5,1
6871,42.7,1
6884,4527.2,1
6885,1954.2333,1
6888,58.65,1
6890,581.6333,1
6921,2346.4,1
6924,536.1,1
6932,410.4,1
6939,0.4333,1
6940,71.8,1
6944,15.4333,1
6950,205.7667,1
6958,384.8167,1
6965,227.6,1
6976,8434.0,1
6982,110.9,1
6997,986.9,1
7008,0.65,1
7013,231.5333,1
7015,0.1667,1
7021,31.6,1
7034,7005.5,1
7071,1382.2833,1
7076,6.0,1
7081,60.9,1
7086,2298.2667,1
7094,1.3,1
7096,133.1667,1
7100,3400.25,1
7115,17.3333,1
7122,379.5,1
7127,231.3,1
7128,592.8833,1
7129,8.6167,1
7133,483.7,1
7155,147.4833,1
7163,505.2333,1
7169,32.1,1
7178,167.5667,1
7179,7.4667,1
7212,25.8333,1
7217,5.1667,1
7231,570.3333,1
7232,353.7333,1
7242,106.2333,1
7244,1339.6667,1
7245,231.6,1
7246,2654.75,1
7250,180.6333,1
7254,363.2833,1
7275,6.8667,1
7282,92.1833,1
7291,23.15,1
7294,388.4,1
7306,396.9,1
7307,463.3667,1
7310,32.1333,1
7334,612.0,1
7343,1970.1,1
7349,1270.9167,1
7355,0.7333,1
7358,490.4,1
7365,648.7833,1
7373,17.9833,1
7382,1938.9333,1
7386,280.1333,1
7404,14.5667,1
7406,7.55,1
7412,3862.5333,1
7443,29.6667,1
7452,27.45,1
7475,1112.4667,1
7482,110.2667,1
7483,1.85,1
7487,681.2667,1
7495,0.45,1
7502,134.3833,1
7503,134.65,1
7521,177.75,1
7524,0.2333,1
7540,579.35,1
7548,27.8833,1
7561,890.0167,1
7568,1375.2667,1
7583,712.5667,1
7606,29.4,1
7612,5346.7,1
7620,236.7333,1
7631,45.8667,1
7645,288.75,1
7676,0.05,1
7687,2416.8667,1
7724,72.3,1
7726,73.7,1
7735,0.1,1
7742,426.4333,1
7752,141.3,1
7782,271.3,1
7819,5.9833,1
7861,3837.7333,1
7863,2.3167,1
7873,39.2667,1
7889,1.15,1
7898,131.7333,1
7908,701.1667,1
7934,131.8667,1
7962,32.7667,1
7975,188.3333,1
7987,3.35,1
8005,1456.05,1
8010,962.1667,1
8018,267.1333,1
8030,364.9333,1
8053,34.4,1
8057,111.2,1
8059,112.6667,1
8068,223.1,1
8095,1395.6,1
8107,0.95,1
8133,305.7667,1
8183,524.1167,1
8223,755.3667,1
8260,14.0667,1
8380,667.0833,1
8412,1096.5667,1
8425,128.6667,1
8437,774.4667,1
8444,7.4333,1
8452,205.2667,1
8495,505.6667,1
8519,27.1667,1
8538,63.5667,1
8539,398.3,1
8544,460.6,1
8555,94.05,1
8567,3.7333,1
8591,297.2,1
8600,412.9333,1
8641,48.3,1
8679,1.0333,1
8686,0.4333,1
8716,5.0833,1
8734,953.8,1
8758,454.7167,1
